,date_mutation,valeur_fonciere,surface_reelle_bati,type_local,longitude,latitude
13607,2019-08-26,206000,113,Maison,3.078003,50.613215
13609,2019-08-22,700000,115,Appartement,3.061008,50.636601
13610,2019-08-22,700000,40,Appartement,3.061008,50.636601
13611,2019-08-22,700000,38,Appartement,3.061008,50.636601
13612,2019-08-22,700000,38,Appartement,3.061008,50.636601
13613,2019-09-09,118000,32,Appartement,3.061941,50.629348
13615,2019-09-12,57500,17,Appartement,3.052883,50.623477
13616,2019-09-10,175000,77,Appartement,3.060997,50.623434
13617,2019-08-26,100000,50,Appartement,3.045582,50.605684
13620,2019-09-09,86400,29,Appartement,3.054614,50.622664
13621,2019-08-27,170000,61,Appartement,3.087537,50.645717
13623,2019-08-16,70000,16,Appartement,3.04275,50.634084
13625,2019-09-11,379400,91,Appartement,3.057208,50.645362
13627,2019-08-30,336000,63,Appartement,3.05716,50.647862
13629,2019-08-31,145000,45,Appartement,3.07855,50.639609
13630,2019-08-26,195000,45,Appartement,3.049524,50.629637
13631,2019-08-28,90000,25,Appartement,3.035376,50.623922
13632,2019-08-19,148800,30,Maison,3.086947,50.619328
13634,2019-09-10,123000,27,Appartement,3.051636,50.635363
13635,2019-08-20,256000,70,Appartement,3.069215,50.637694
13637,2019-09-13,341200,98,Maison,3.098261,50.637605
13638,2019-08-29,458000,191,Maison,3.022491,50.635033
13641,2019-09-14,103000,32,Appartement,3.060138,50.628096
13643,2019-09-05,112800,25,Appartement,3.066172,50.625532
13645,2019-08-30,106700,33,Appartement,3.068862,50.621461
13646,2019-08-26,108000,45,Appartement,3.066529,50.623712
13654,2019-09-13,244000,85,Maison,3.110356,50.62502
13656,2019-09-03,149000,54,Appartement,3.086943,50.646122
13660,2019-08-29,355200,97,Appartement,3.041606,50.6241
13661,2019-08-26,260000,98,Appartement,3.075532,50.613147
13665,2019-09-13,126000,72,Maison,3.101312,50.619445
13666,2019-09-06,89000,22,Appartement,3.051861,50.630456
13667,2019-08-26,237500,14,Appartement,3.072858,50.610025
13669,2019-08-26,237500,25,Appartement,3.072858,50.610025
13670,2019-08-26,237500,11,Appartement,3.072858,50.610025
13671,2019-08-26,237500,11,Appartement,3.072858,50.610025
13672,2019-08-26,237500,11,Appartement,3.072858,50.610025
13674,2019-08-27,199999,81,Appartement,3.080372,50.621588
13675,2019-08-29,111000,25,Appartement,3.037658,50.626922
13676,2019-08-30,299780,23,Appartement,3.075762,50.623571
13678,2019-08-30,299780,55,Appartement,3.075762,50.623571
13679,2019-08-30,299780,9,Appartement,3.075762,50.623571
13680,2019-08-30,299780,26,Appartement,3.075762,50.623571
13682,2019-08-28,131000,34,Appartement,3.041468,50.626369
13683,2019-09-09,132000,60,Appartement,3.084853,50.63791
13684,2019-08-28,134000,51,Maison,3.074091,50.620778
13685,2019-09-10,203000,51,Appartement,3.075292,50.637407
13686,2019-09-13,238000,90,Maison,3.054231,50.629044
13688,2019-08-26,92000,46,Appartement,3.073005,50.618554
13689,2019-09-03,402100,113,Appartement,3.060502,50.633595
13690,2019-09-13,232000,85,Maison,3.041626,50.610778
13691,2019-08-29,143500,42,Maison,3.064125,50.620509
13695,2019-09-09,137500,53,Appartement,3.034511,50.622012
13696,2019-08-23,259100,100,Appartement,3.070363,50.623561
13697,2019-08-27,118500,41,Appartement,3.02623,50.636141
13699,2019-07-18,220000,55,Appartement,3.080417,50.64144
13702,2019-09-02,240000,75,Appartement,3.0368,50.622506
13703,2019-08-27,65000,27,Appartement,3.054069,50.627781
13704,2019-08-23,125000,30,Appartement,3.03669,50.624451
13706,2019-08-30,232000,107,Appartement,3.057959,50.632727
13707,2019-08-23,225000,27,Appartement,3.068656,50.635945
13708,2019-08-23,118000,30,Appartement,3.061612,50.630151
13709,2019-08-29,245000,99,Appartement,3.041468,50.626369
13711,2019-08-27,140450,30,Appartement,3.049524,50.629637
13712,2019-09-09,177500,61,Maison,3.113215,50.634913
13713,2019-08-26,220000,45,Appartement,3.067954,50.638495
13715,2019-09-09,194998,61,Maison,3.093225,50.632815
13716,2019-08-28,150000,49,Appartement,3.050096,50.627808
13717,2019-08-26,200000,32,Appartement,3.08717,50.638239
13718,2019-08-26,200000,36,Appartement,3.08717,50.638239
13719,2019-08-26,200000,36,Appartement,3.08717,50.638239
13720,2019-09-11,135500,12,Appartement,3.095965,50.63209
13721,2019-09-11,135500,13,Appartement,3.095965,50.63209
13722,2019-09-11,135500,20,Appartement,3.095965,50.63209
13723,2019-09-11,135500,13,Appartement,3.095965,50.63209
13725,2019-08-30,178900,46,Appartement,3.05833,50.648089
13727,2019-08-29,134900,30,Appartement,3.063787,50.638601
13728,2019-09-11,180000,65,Maison,3.085124,50.629613
13729,2019-09-06,240000,66,Appartement,3.046189,50.629861
13731,2019-09-03,95000,72,Appartement,3.025975,50.617242
13732,2019-08-30,147000,50,Appartement,3.071433,50.641408
13736,2019-08-28,134560,42,Appartement,3.054961,50.622262
13738,2019-05-15,110500,85,Appartement,3.03158,50.622774
13739,2019-09-04,232000,95,Appartement,3.053252,50.627336
13741,2019-09-03,149000,28,Appartement,3.037459,50.621469
13742,2019-09-03,149000,50,Appartement,3.037459,50.621469
13744,2019-09-03,750000,27,Appartement,3.060951,50.628546
13745,2019-08-29,153000,47,Maison,3.039249,50.63381
13746,2019-09-12,180000,58,Appartement,3.068234,50.639816
13747,2019-09-11,363000,70,Appartement,3.057884,50.620718
13750,2019-09-09,118200,84,Appartement,3.104452,50.626641
13751,2019-08-26,367000,92,Appartement,3.056832,50.648182
13755,2019-09-11,130000,54,Appartement,3.0435,50.627687
13757,2019-09-02,269800,72,Appartement,3.051767,50.636224
13759,2019-09-13,175000,67,Appartement,3.064486,50.61147
13760,2019-09-10,138000,75,Appartement,3.061447,50.620506
13762,2019-09-10,115000,79,Appartement,3.105723,50.627778
13763,2019-09-11,333000,90,Maison,3.091438,50.628857
13764,2019-09-13,132500,36,Appartement,3.042443,50.627052
13766,2019-09-17,163000,50,Appartement,3.033589,50.633816
13767,2019-09-13,53700,40,Appartement,3.070629,50.618624
13768,2019-07-24,79900,36,Appartement,3.105723,50.627778
13771,2019-09-13,166900,45,Appartement,3.064486,50.61147
13772,2019-08-27,330000,62,Appartement,3.055311,50.628806
13774,2019-08-28,116000,49,Appartement,3.034035,50.622001
13776,2019-08-29,105700,22,Appartement,3.055186,50.631866
13779,2019-09-05,230000,13,Appartement,3.072912,50.611886
13780,2019-09-05,230000,10,Appartement,3.072912,50.611886
13781,2019-09-05,230000,40,Appartement,3.072912,50.611886
13782,2019-09-05,230000,27,Appartement,3.072912,50.611886
13783,2019-09-05,230000,27,Appartement,3.072912,50.611886
13784,2019-08-19,247000,117,Appartement,3.0852,50.652871
13786,2019-09-04,56000,17,Appartement,3.052883,50.623477
13787,2019-08-30,432500,10,Appartement,3.042882,50.633938
13789,2019-08-30,432500,12,Appartement,3.042882,50.633938
13790,2019-08-30,432500,12,Appartement,3.042882,50.633938
13791,2019-08-30,432500,12,Appartement,3.042882,50.633938
13792,2019-08-30,432500,15,Appartement,3.042882,50.633938
13793,2019-08-30,432500,10,Appartement,3.042882,50.633938
13794,2019-08-30,432500,18,Appartement,3.042882,50.633938
13795,2019-08-30,432500,12,Appartement,3.042882,50.633938
13796,2019-09-06,134000,57,Maison,3.085306,50.635385
13797,2019-09-06,159000,96,Maison,3.092958,50.624224
13798,2019-09-11,137000,63,Maison,3.099936,50.630391
13800,2019-08-26,70000,31,Appartement,3.056285,50.620692
13801,2019-09-13,150000,47,Appartement,3.034343,50.625638
13803,2019-08-27,132000,39,Appartement,3.054866,50.633365
13804,2019-08-26,256000,80,Appartement,3.062141,50.628703
13805,2019-09-13,27000,28,Appartement,3.055963,50.625278
13806,2019-09-16,88000,12,Appartement,3.039392,50.632858
13807,2019-08-29,178000,50,Appartement,3.068907,50.63402
13808,2019-09-06,108900,26,Appartement,3.04823,50.631253
13809,2019-09-06,155000,38,Appartement,3.065179,50.633463
13810,2019-09-09,103000,40,Appartement,3.031886,50.633277
13813,2019-09-10,190000,38,Appartement,3.055515,50.647329
13815,2019-08-27,225750,45,Appartement,3.055311,50.628806
13817,2019-09-18,165000,38,Appartement,3.059549,50.645009
13818,2019-08-30,193000,67,Appartement,3.067982,50.628723
13819,2019-09-10,538000,100,Maison,3.060884,50.645723
13820,2019-09-19,114000,35,Appartement,3.083608,50.638995
13821,2019-09-12,256850,145,Maison,3.076062,50.61268
13822,2019-08-26,136000,42,Appartement,3.056407,50.620181
13825,2019-09-10,32000,42,Maison,3.054094,50.621689
13826,2019-09-10,79500,20,Appartement,3.067296,50.61981
13828,2019-09-18,143000,46,Appartement,3.065044,50.621388
13832,2019-09-09,203000,115,Maison,3.086451,50.620559
13833,2019-09-10,213500,75,Maison,3.0235,50.637422
13834,2019-09-02,308000,24,Appartement,3.066095,50.629009
13835,2019-09-02,308000,40,Appartement,3.066095,50.629009
13836,2019-09-02,308000,23,Appartement,3.066095,50.629009
13839,2019-09-04,368000,90,Appartement,3.055515,50.647329
13841,2019-09-03,332000,43,Appartement,3.086564,50.644036
13842,2019-08-30,170000,80,Appartement,3.065936,50.619982
13843,2019-08-28,153000,47,Appartement,3.064612,50.633579
13845,2019-08-30,150000,29,Appartement,3.055515,50.647329
13846,2019-08-28,122000,24,Appartement,3.063112,50.638782
13847,2019-09-04,114070,30,Appartement,3.059443,50.625549
13849,2019-08-29,345680,84,Appartement,3.080391,50.641086
13851,2019-08-29,382200,136,Appartement,3.053798,50.623916
13854,2019-08-30,253500,69,Appartement,3.080372,50.621588
13855,2019-09-20,91080,59,Appartement,3.073472,50.61667
13856,2019-08-29,305000,29,Appartement,3.063461,50.643819
13857,2019-08-29,305000,24,Appartement,3.063461,50.643819
13858,2019-08-29,110950,30,Appartement,3.043254,50.623328
13860,2019-08-30,156600,37,Appartement,3.059461,50.636267
13862,2019-09-07,88500,32,Appartement,3.034035,50.622001
13865,2019-07-22,219000,99,Appartement,3.0852,50.652871
13867,2019-08-29,119900,65,Appartement,3.044341,50.622224
13868,2019-09-10,268000,60,Appartement,3.062056,50.638183
13869,2019-09-06,73960,45,Maison,3.093575,50.631532
13871,2019-09-16,120000,29,Appartement,3.066037,50.624891
13872,2019-09-13,91000,22,Appartement,3.067681,50.639692
13873,2019-09-12,117500,26,Appartement,3.059378,50.63122
13874,2019-06-05,58000,36,Appartement,3.086995,50.637882
13875,2019-08-22,184900,74,Maison,3.10284,50.627174
13876,2019-08-27,213000,100,Maison,3.100172,50.62474
13877,2019-08-30,200000,79,Maison,3.113372,50.625854
13879,2019-06-19,60500,36,Appartement,3.086995,50.637882
13880,2019-09-13,248000,58,Maison,3.039276,50.633744
13881,2019-09-18,433200,134,Appartement,3.064877,50.634626
13882,2019-09-06,136000,67,Maison,3.097733,50.621037
13883,2019-08-30,76500,19,Appartement,3.043767,50.624835
13886,2019-08-29,328000,134,Maison,3.031218,50.625445
13887,2019-09-12,91000,47,Appartement,3.051983,50.60339
13889,2019-09-04,260000,53,Maison,3.045752,50.613678
13890,2019-09-04,260000,55,Appartement,3.045857,50.613701
13891,2019-09-04,260000,54,Appartement,3.045857,50.613701
13892,2019-09-04,260000,51,Appartement,3.045857,50.613701
13893,2019-09-05,150000,42,Appartement,3.067541,50.632793
13895,2019-09-18,146000,41,Appartement,3.057954,50.632013
13896,2019-09-17,101000,25,Appartement,3.059372,50.623269
13897,2019-08-29,211000,53,Appartement,3.058131,50.638668
13899,2019-09-23,150000,49,Appartement,3.025919,50.634521
13900,2019-09-12,76000,15,Appartement,3.055638,50.633151
13903,2019-09-19,85000,26,Appartement,3.060873,50.624649
13904,2019-08-27,335000,91,Appartement,3.060065,50.621401
13913,2019-09-18,4500,81,Appartement,3.063867,50.628225
13915,2019-09-02,280000,45,Appartement,3.041117,50.622609
13916,2019-09-02,280000,45,Appartement,3.041117,50.622609
13917,2019-09-02,280000,45,Appartement,3.041117,50.622609
13918,2019-09-18,140000,37,Appartement,3.066671,50.625342
13919,2019-09-17,77000,25,Appartement,3.059122,50.625145
13920,2019-09-03,575000,29,Appartement,3.068941,50.624257
13921,2019-09-03,575000,24,Appartement,3.068941,50.624257
13922,2019-09-03,575000,24,Appartement,3.068941,50.624257
13923,2019-09-03,575000,24,Appartement,3.068941,50.624257
13924,2019-09-18,107000,22,Appartement,3.048262,50.627446
13926,2019-08-30,85000,27,Appartement,3.083275,50.639789
13927,2019-09-17,182000,54,Appartement,3.059679,50.645697
13929,2019-09-09,180500,64,Appartement,3.042924,50.633211
13932,2019-09-20,271000,20,Appartement,3.042289,50.633145
13933,2019-09-20,271000,20,Appartement,3.042289,50.633145
13934,2019-09-20,271000,40,Appartement,3.042289,50.633145
13935,2019-09-20,271000,21,Appartement,3.042289,50.633145
13936,2019-09-04,40000,36,Maison,3.102701,50.628241
13938,2019-09-17,155000,50,Appartement,3.062752,50.628115
13940,2019-08-23,152900,72,Maison,3.114559,50.627863
13942,2019-08-27,222500,99,Appartement,3.0852,50.652871
13943,2019-09-16,325900,92,Maison,3.089935,50.648832
13944,2019-09-24,79200,17,Appartement,3.06034,50.646468
13945,2019-09-16,183500,59,Appartement,3.046641,50.630724
13946,2019-09-20,59600,14,Appartement,3.052557,50.63308
13950,2019-09-05,169000,76,Appartement,3.071109,50.62367
13951,2019-09-18,127000,18,Appartement,3.065369,50.635283
13952,2019-09-18,127000,17,Appartement,3.065369,50.635283
13953,2019-09-09,255000,71,Appartement,3.06626,50.632931
13954,2019-09-06,89000,29,Appartement,3.046517,50.625689
13955,2019-08-29,95000,48,Maison,3.084887,50.632696
13957,2019-08-30,560400,142,Appartement,3.05861,50.645087
13958,2019-08-30,118000,20,Appartement,3.062601,50.634486
13959,2019-09-12,87500,16,Appartement,3.047419,50.627309
13960,2019-09-17,144500,48,Appartement,3.055225,50.630279
13962,2019-08-27,197000,49,Appartement,3.056381,50.635266
13963,2019-09-09,241000,53,Appartement,3.055741,50.638902
13964,2019-08-30,224300,89,Appartement,3.075532,50.613147
13967,2019-09-11,230000,84,Appartement,3.047816,50.626093
13968,2019-09-20,205000,59,Appartement,3.068907,50.63402
13969,2019-09-09,260000,78,Appartement,3.070009,50.634918
13971,2019-09-03,385000,144,Maison,3.083748,50.636168
13972,2019-08-29,362250,13,Appartement,3.097321,50.634839
13973,2019-08-29,362250,50,Appartement,3.097321,50.634839
13974,2019-08-29,362250,16,Appartement,3.097321,50.634839
13975,2019-08-29,362250,16,Appartement,3.097321,50.634839
13976,2019-08-29,362250,13,Appartement,3.097321,50.634839
13977,2019-08-29,362250,32,Appartement,3.097321,50.634839
13979,2019-08-29,362250,40,Appartement,3.097321,50.634839
13982,2019-09-18,150000,40,Appartement,3.065283,50.632177
13983,2019-08-29,199000,56,Appartement,3.066299,50.64263
13984,2019-09-16,284000,60,Appartement,3.060307,50.641161
13985,2019-08-05,259000,107,Appartement,3.086306,50.653744
13987,2019-09-05,125200,42,Appartement,3.053768,50.62049
13990,2019-09-04,158410,70,Appartement,3.055673,50.62273
13991,2019-09-23,143000,42,Appartement,3.055469,50.627029
13993,2019-09-06,80000,20,Appartement,3.059815,50.622728
13994,2019-09-06,522155,190,Maison,3.039177,50.627388
13996,2019-09-06,124000,39,Appartement,3.086292,50.640033
13998,2019-09-06,170740,65,Appartement,3.055214,50.622359
13999,2019-09-20,149150,50,Appartement,3.034035,50.622001
14001,2019-09-06,160500,30,Appartement,3.039236,50.62834
14003,2019-08-30,94200,22,Appartement,3.054043,50.632935
14004,2019-09-18,67500,19,Appartement,3.047848,50.623014
14005,2019-09-25,139000,59,Maison,3.092753,50.623769
14008,2019-09-13,83000,29,Appartement,3.057617,50.620094
14012,2019-09-06,330000,62,Appartement,3.055311,50.628806
14013,2019-09-24,250000,14,Appartement,3.096228,50.631831
14014,2019-09-24,250000,14,Appartement,3.096228,50.631831
14016,2019-09-24,250000,12,Appartement,3.096228,50.631831
14017,2019-09-24,250000,12,Appartement,3.096228,50.631831
14018,2019-09-24,250000,12,Appartement,3.096228,50.631831
14019,2019-09-24,250000,9,Appartement,3.096228,50.631831
14020,2019-09-20,430000,21,Appartement,3.084113,50.63863
14021,2019-09-20,430000,12,Appartement,3.084113,50.63863
14022,2019-09-20,430000,18,Appartement,3.084113,50.63863
14023,2019-09-20,430000,10,Appartement,3.084113,50.63863
14024,2019-09-20,430000,10,Appartement,3.084113,50.63863
14026,2019-09-20,430000,17,Appartement,3.084113,50.63863
14027,2019-09-20,430000,23,Appartement,3.084113,50.63863
14028,2019-09-20,430000,17,Appartement,3.084113,50.63863
14031,2019-09-19,314838,60,Appartement,3.063008,50.638542
14032,2019-09-05,1777000,55,Appartement,3.066297,50.642129
14033,2019-09-05,1777000,57,Appartement,3.066297,50.642129
14035,2019-09-05,1777000,45,Appartement,3.066297,50.642129
14036,2019-09-05,1777000,45,Appartement,3.066297,50.642129
14037,2019-09-05,1777000,37,Appartement,3.066297,50.642129
14038,2019-09-06,250000,86,Maison,3.059272,50.62435
14039,2019-09-20,150000,24,Appartement,3.064722,50.612436
14040,2019-09-20,150000,27,Appartement,3.064722,50.612436
14041,2019-09-20,150000,27,Appartement,3.064722,50.612436
14042,2019-09-06,16000,65,Appartement,3.032087,50.635547
14044,2019-09-05,335000,68,Appartement,3.055515,50.647329
14047,2019-09-06,199000,85,Appartement,3.071109,50.62367
14048,2019-09-20,285000,109,Maison,3.029493,50.634678
14051,2019-09-09,123500,86,Appartement,3.067724,50.62938
14053,2019-09-06,184000,70,Appartement,3.075532,50.613147
14055,2019-09-09,113000,73,Maison,3.043477,50.610752
14057,2019-09-12,350000,65,Appartement,3.085262,50.651321
14060,2019-09-09,205000,71,Appartement,3.056832,50.648182
14064,2019-09-26,280000,71,Appartement,3.051767,50.636224
14065,2019-09-24,209030,48,Appartement,3.05938,50.629711
14067,2019-09-20,80000,19,Appartement,3.049207,50.627427
14068,2019-09-24,152000,31,Appartement,3.057642,50.638541
14069,2019-09-23,320000,104,Maison,3.053195,50.629579
14070,2019-09-03,125000,37,Appartement,3.052912,50.631733
14072,2019-09-25,110000,34,Appartement,3.041468,50.626369
14074,2019-09-06,172800,68,Appartement,3.072455,50.62367
14075,2019-09-09,67000,38,Appartement,3.082046,50.637023
14078,2019-09-25,169000,36,Appartement,3.072869,50.622432
14079,2019-09-09,197210,66,Maison,3.10458,50.628095
14080,2019-09-10,150000,56,Appartement,3.035109,50.621925
14081,2019-09-13,77000,30,Appartement,3.042885,50.620786
14082,2019-09-26,120000,65,Appartement,3.032087,50.635547
14084,2019-09-25,190000,84,Appartement,3.03893,50.622933
14086,2019-09-12,240000,130,Appartement,3.038536,50.623994
14088,2019-09-03,178500,114,Maison,3.047131,50.606989
14100,2019-09-23,95000,24,Appartement,3.047798,50.632524
14102,2019-09-24,199300,86,Appartement,3.09113,50.641682
14105,2019-09-06,380000,90,Appartement,3.045655,50.627169
14106,2019-09-26,750000,85,Appartement,3.064242,50.629516
14110,2019-09-06,173000,38,Appartement,3.055515,50.647329
14112,2019-09-27,109500,16,Appartement,3.039392,50.632858
14113,2019-09-13,425000,119,Appartement,3.059394,50.631571
14114,2019-09-20,100000,20,Appartement,3.054284,50.632555
14115,2019-09-23,340000,108,Maison,3.090652,50.63167
14117,2019-09-23,340000,33,Appartement,3.090642,50.631584
14118,2019-09-23,340000,15,Appartement,3.090642,50.631584
14119,2019-09-23,340000,31,Appartement,3.090637,50.631536
14120,2019-09-23,340000,15,Appartement,3.090637,50.631536
14121,2019-09-13,306000,106,Appartement,3.080827,50.627905
14123,2019-09-25,155000,35,Appartement,3.084412,50.635682
14125,2019-09-25,155000,29,Appartement,3.084412,50.635682
14126,2019-09-06,295000,87,Appartement,3.068833,50.635343
14127,2019-09-24,100000,52,Maison,3.060017,50.622326
14129,2019-09-17,386900,110,Appartement,3.065913,50.631957
14130,2019-09-30,81000,12,Appartement,3.039392,50.632858
14131,2019-09-11,292000,80,Appartement,3.04776,50.630099
14134,2019-09-11,83000,30,Appartement,3.034035,50.622001
14136,2019-09-05,120000,110,Maison,3.052142,50.623386
14138,2019-09-13,63000,15,Appartement,3.067296,50.61981
14139,2019-09-13,99000,25,Appartement,3.056323,50.635054
14140,2019-09-30,147000,30,Appartement,3.05062,50.626959
14144,2019-09-05,84000,20,Appartement,3.05156,50.626755
14152,2019-09-12,135000,51,Appartement,3.050809,50.623265
14154,2019-08-29,68500,23,Appartement,3.096601,50.620873
14156,2019-09-09,439600,45,Appartement,3.045554,50.609685
14157,2019-09-09,439600,32,Appartement,3.045554,50.609685
14158,2019-09-09,439600,40,Appartement,3.045554,50.609685
14159,2019-09-09,439600,30,Appartement,3.045554,50.609685
14160,2019-09-09,439600,45,Appartement,3.045554,50.609685
14163,2019-09-10,330000,62,Appartement,3.055311,50.628806
14164,2019-09-27,160000,117,Maison,3.052529,50.629088
14167,2019-09-17,505000,128,Appartement,3.057631,50.63442
14170,2019-09-10,121000,29,Appartement,3.066529,50.625874
14173,2019-09-17,167000,33,Appartement,3.052631,50.636291
14181,2019-09-27,690000,216,Maison,3.054412,50.633889
14184,2019-09-26,116000,37,Appartement,3.057523,50.644417
14186,2019-09-13,166000,67,Appartement,3.089481,50.652476
14188,2019-09-09,138095,47,Appartement,3.092144,50.644033
14190,2019-09-14,90000,27,Appartement,3.039783,50.622673
14192,2019-09-19,184000,40,Appartement,3.039601,50.634317
14193,2019-09-16,129430,28,Appartement,3.06644,50.636252
14194,2019-09-18,236200,105,Maison,3.091634,50.630625
14196,2019-09-19,151800,35,Appartement,3.039601,50.634317
14197,2019-09-12,189900,49,Appartement,3.06968,50.631386
14199,2019-09-10,188000,73,Maison,3.054691,50.606677
14200,2019-09-12,87000,65,Appartement,3.087991,50.630283
14202,2019-09-17,255000,84,Appartement,3.034343,50.625638
14204,2019-10-02,100750,80,Appartement,3.05603,50.642124
14207,2019-09-16,138580,29,Appartement,3.050581,50.630043
14210,2019-09-16,187000,84,Maison,3.03336,50.622917
14211,2019-09-06,175150,74,Appartement,3.02268,50.636792
14214,2019-09-24,250000,74,Appartement,3.053826,50.63886
14215,2019-10-02,170000,98,Maison,3.112253,50.626304
14216,2019-09-06,178000,41,Appartement,3.061908,50.648026
14219,2019-09-09,64000,25,Appartement,3.021155,50.63635
14221,2019-09-25,220000,47,Appartement,3.064945,50.639665
14222,2019-09-25,91000,27,Appartement,3.070255,50.622789
14226,2019-09-12,407000,60,Appartement,3.057095,50.627345
14227,2019-09-12,407000,56,Appartement,3.057095,50.627345
14229,2019-09-16,199500,50,Appartement,3.053511,50.625251
14230,2019-09-30,280000,63,Appartement,3.060904,50.630111
14233,2019-09-16,103000,33,Appartement,3.049233,50.629438
14235,2019-09-09,100500,42,Appartement,3.0852,50.652871
14236,2019-10-04,315000,28,Appartement,3.041501,50.622089
14237,2019-10-04,315000,25,Appartement,3.041501,50.622089
14238,2019-10-04,315000,26,Appartement,3.041501,50.622089
14239,2019-10-04,315000,22,Appartement,3.041501,50.622089
14240,2019-09-11,130000,38,Appartement,3.054435,50.630108
14241,2019-09-26,180500,76,Appartement,3.067546,50.623476
14242,2019-09-13,229500,36,Appartement,3.039774,50.633653
14243,2019-09-13,229500,57,Appartement,3.039774,50.633653
14244,2019-09-24,97000,20,Appartement,3.056957,50.629814
14247,2019-10-01,300000,81,Appartement,3.080442,50.622551
14249,2019-09-16,248000,98,Appartement,3.0852,50.652871
14250,2019-09-30,243000,58,Appartement,3.072869,50.622432
14254,2019-09-17,122000,35,Appartement,3.0607,50.634233
14259,2019-10-01,18968,48,Maison,3.047206,50.614336
14265,2019-10-01,18968,50,Appartement,3.046589,50.613926
14266,2019-10-01,18968,30,Appartement,3.04671,50.613918
14267,2019-10-01,18968,40,Appartement,3.04671,50.613918
14268,2019-10-01,18968,20,Appartement,3.04671,50.613918
14269,2019-10-01,18968,15,Appartement,3.04671,50.613918
14270,2019-09-12,109000,54,Appartement,3.092267,50.622361
14272,2019-10-04,503200,120,Maison,3.083355,50.642941
14273,2019-09-27,59400,40,Appartement,3.059122,50.625145
14274,2019-10-01,186000,63,Appartement,3.083924,50.636304
14275,2019-09-30,76000,24,Appartement,3.103039,50.632426
14276,2019-09-18,120000,42,Appartement,3.070255,50.622789
14278,2019-09-23,488905,165,Appartement,3.064972,50.643317
14282,2019-10-01,355000,120,Maison,3.058458,50.624936
14283,2019-09-20,189000,80,Appartement,3.095897,50.631175
14284,2019-09-18,86000,63,Maison,3.100586,50.630901
14285,2019-10-02,212000,89,Maison,3.104969,50.631108
14286,2019-10-02,210310,71,Maison,3.112996,50.628404
14289,2019-09-24,179140,69,Appartement,3.055214,50.622359
14290,2019-10-01,185000,92,Appartement,3.031688,50.62655
14292,2019-09-30,361000,100,Appartement,3.047248,50.62922
14295,2019-09-23,154659,68,Appartement,3.055673,50.62273
14297,2019-09-18,75000,59,Appartement,3.073472,50.61667
14300,2019-09-18,227500,113,Appartement,3.0852,50.652871
14302,2019-09-11,158000,77,Appartement,3.077999,50.628013
14303,2019-09-11,127200,29,Appartement,3.055879,50.637445
14304,2019-09-10,120060,43,Appartement,3.040028,50.623799
14305,2019-09-20,116000,68,Appartement,3.065936,50.619982
14308,2019-09-10,240000,66,Appartement,3.080372,50.621588
14309,2019-10-07,115000,52,Appartement,3.091135,50.624117
14310,2019-09-18,208000,82,Appartement,3.080153,50.620828
14313,2019-09-12,207000,45,Appartement,3.055515,50.647329
14314,2019-09-09,163600,80,Maison,3.102303,50.632615
14315,2019-09-23,120000,43,Appartement,3.060434,50.624524
14317,2019-09-23,165000,45,Appartement,3.034343,50.625638
14318,2019-09-30,165000,50,Appartement,3.067954,50.638495
14321,2019-09-12,560000,136,Appartement,3.085104,50.653539
14322,2019-09-13,295000,94,Appartement,3.043455,50.628255
14323,2019-09-24,264000,58,Appartement,3.064574,50.629771
14324,2019-09-24,1,58,Appartement,3.064574,50.629771
14326,2019-09-30,160000,95,Appartement,3.065239,50.625278
14327,2019-09-20,95000,20,Appartement,3.05716,50.647862
14329,2019-09-09,263310,100,Maison,3.111032,50.631094
14332,2019-09-20,189900,78,Maison,3.089226,50.63094
14333,2019-10-01,194750,56,Maison,3.093364,50.649726
14334,2019-09-25,230000,70,Maison,3.042091,50.622019
14335,2019-10-07,201000,83,Maison,3.11346,50.630088
14337,2019-09-30,216500,57,Appartement,3.086766,50.656397
14338,2019-09-24,122500,30,Maison,3.072466,50.61933
14340,2019-10-04,306500,133,Appartement,3.092613,50.639962
14343,2019-09-23,57500,17,Appartement,3.052883,50.623477
14345,2019-10-03,103500,27,Appartement,3.042418,50.625593
14346,2019-10-04,125000,47,Appartement,3.041664,50.631263
14348,2019-09-18,192000,40,Appartement,3.051181,50.629051
14349,2019-10-01,122000,65,Appartement,3.064685,50.622458
14351,2019-09-18,520000,193,Maison,3.031651,50.625415
14353,2019-09-23,79000,39,Appartement,3.050853,50.619691
14354,2019-09-10,145000,54,Appartement,3.034853,50.634469
14358,2019-09-27,749240,20,Appartement,3.056224,50.632881
14359,2019-09-27,749240,20,Appartement,3.056224,50.632881
14360,2019-09-27,749240,20,Appartement,3.056224,50.632881
14361,2019-09-27,749240,20,Appartement,3.056224,50.632881
14362,2019-09-27,749240,20,Appartement,3.056224,50.632881
14363,2019-09-27,749240,20,Appartement,3.056224,50.632881
14364,2019-09-27,749240,20,Appartement,3.056224,50.632881
14365,2019-09-27,749240,20,Appartement,3.056224,50.632881
14366,2019-09-27,749240,20,Appartement,3.056224,50.632881
14367,2019-09-27,749240,20,Appartement,3.056224,50.632881
14368,2019-09-27,749240,20,Appartement,3.056224,50.632881
14369,2019-09-27,749240,20,Appartement,3.056224,50.632881
14370,2019-09-27,749240,20,Appartement,3.056224,50.632881
14371,2019-09-27,183400,113,Maison,3.114328,50.625722
