,date_mutation,valeur_fonciere,surface_reelle_bati,type_local,longitude,latitude
254,2017-07-19,470820,16,Appartement,3.058122,50.620788
255,2017-07-19,470820,54,Appartement,3.058122,50.620788
256,2017-07-19,470820,56,Appartement,3.058122,50.620788
257,2017-07-19,470820,16,Appartement,3.058122,50.620788
258,2017-07-19,470820,24,Appartement,3.058122,50.620788
259,2017-07-19,60000,60,Maison,3.105883,50.62737
260,2017-07-18,167000,63,Maison,3.104199,50.632544
261,2017-07-11,64900,42,Appartement,3.070255,50.622789
262,2017-07-12,45000,14,Appartement,3.041999,50.627521
263,2017-07-17,105000,22,Appartement,3.088772,50.633824
265,2017-07-20,283000,50,Appartement,3.0573,50.643187
266,2017-07-24,43800,20,Appartement,3.096827,50.630868
267,2017-07-13,235000,121,Appartement,3.06871,50.621595
269,2017-07-13,227381,150,Appartement,3.06871,50.621595
270,2017-07-20,130300,56,Appartement,3.085934,50.638461
271,2017-07-10,50000,30,Appartement,3.053785,50.62256
273,2017-07-21,268000,86,Appartement,3.073537,50.620595
277,2017-07-21,231000,60,Appartement,3.062385,50.623075
278,2017-07-07,104000,19,Appartement,3.065936,50.619982
279,2017-07-05,120000,48,Maison,3.110199,50.625844
280,2017-07-10,176500,86,Maison,3.097759,50.621476
282,2017-07-20,640000,408,Maison,3.0855,50.641747
283,2017-07-18,541000,248,Maison,3.036955,50.627982
284,2017-07-17,260000,100,Maison,3.093314,50.650058
286,2017-07-20,580000,300,Maison,3.069023,50.624033
288,2017-07-17,105000,68,Appartement,3.063306,50.622573
289,2017-07-18,321400,149,Maison,3.066618,50.612475
290,2017-07-10,177000,62,Appartement,3.078724,50.628643
292,2017-07-11,51000,20,Appartement,3.062145,50.62206
294,2017-07-19,180000,43,Appartement,3.057779,50.645427
295,2017-07-21,192200,83,Maison,3.096428,50.635075
296,2017-07-17,301000,29,Appartement,3.100759,50.633178
297,2017-07-17,301000,45,Appartement,3.100759,50.633178
298,2017-07-05,240000,75,Appartement,3.054854,50.629342
299,2017-07-10,97000,26,Appartement,3.044944,50.625947
