,rowid,longitude,latitude
220,1921,3.094143,50.621185
221,1922,3.094519,50.623194
222,1925,,
223,1940,3.084429,50.635719
224,1958,3.047206,50.614336
225,1962,3.064152,50.626548
226,1972,3.090737,50.632156
227,1975,3.098127,50.629023
228,1983,3.0947,50.639612
229,1996,3.062609,50.626409
230,2040,3.061262,50.645586
231,2041,3.09552,50.649468
232,2119,3.091217,50.623105
233,2133,3.044694,50.629911
234,2143,3.094103,50.646205
235,2181,3.060513,50.643339
236,2183,3.100164,50.633557
237,2202,3.046753,50.609786
238,2203,3.083675,50.640027
239,2204,3.098634,50.621221
240,2207,3.043433,50.621983
241,2208,3.049082,50.613981
242,2216,3.059845,50.618138
243,2238,3.064126,50.62043
244,2239,3.064097,50.620475
245,2280,3.098348,50.629033
246,2286,3.102066,50.634281
247,2308,3.063211,50.629338
248,2312,3.103101,50.628758
249,2343,3.062158,50.61942
250,2344,3.02938,50.615404
251,2358,3.053475,50.62091
252,2380,3.088258,50.65552
253,2381,3.097165,50.632698
254,2382,3.097301,50.632752
255,2384,3.053475,50.62091
256,2395,3.113327,50.625029
257,2399,3.085439,50.655557
258,2411,3.111328,50.632491
259,2415,3.05664,50.623983
260,2420,3.035217,50.628534
261,2426,3.085234,50.631854
262,2475,3.084357,50.635545
263,2476,3.050953,50.634807
264,2478,3.040083,50.612989
265,2526,3.058291,50.6257
266,2530,3.100128,50.622935
267,2536,3.033979,50.628208
268,2549,3.06254,50.62488
269,2555,3.088039,50.638832
270,2556,3.0274,50.614724
271,2586,3.033589,50.633816
272,2588,3.10066,50.629684
273,2596,3.098074,50.63148
274,2597,3.098091,50.631529
275,2618,3.091992,50.650676
276,2621,3.030193,50.615693
277,2623,3.088219,50.655227
278,2635,3.056298,50.60447
279,2669,3.093711,50.629403
280,2680,3.051375,50.601066
281,2683,3.031802,50.624858
282,2685,3.055122,50.605383
283,2707,3.055295,50.646487
284,2708,3.091696,50.634859
285,2711,3.045215,50.623947
